越南频道,#genre#
VTV1 HD,http://14.255.66.32:8989/rtp/232.84.1.117:10254
VTV2 HD,http://14.255.66.32:8989/rtp/232.84.2.31:10594
VTV3 HD,http://14.255.66.32:8989/rtp/232.84.1.118:10260
VTV4 HD,http://14.255.66.32:8989/rtp/232.84.2.32:10600
VTV4 HD,http://14.255.66.32:8989/rtp/232.84.3.106:10600
VTV5 HD,http://14.255.66.32:8989/rtp/232.84.2.33:10606
VTV6 HD,http://14.255.66.32:8989/rtp/232.84.1.119:10266
VTV7 HD,http://14.255.66.32:8989/rtp/232.84.2.202:10996
VTV8 HD,http://14.255.66.32:8989/rtp/232.84.2.34:10612
VTV8 HD,http://14.255.66.32:8989/rtp/232.84.3.104:10612
VTV9 HD,http://14.255.66.32:8989/rtp/232.84.2.35:10618
VTV1,http://14.255.66.32:8989/rtp/232.84.1.27:8136
VTV2,http://14.255.66.32:8989/rtp/232.84.1.39:8208
VTV3,http://14.255.66.32:8989/rtp/232.84.1.28:8142
VTV4,http://14.255.66.32:8989/rtp/232.84.1.40:8214
VTV5,http://14.255.66.32:8989/rtp/232.84.1.41:8220
VTV6,http://14.255.66.32:8989/rtp/232.84.1.42:8226
VTV7,http://14.255.66.32:8989/rtp/232.84.2.201:10990
VTV8,http://14.255.66.32:8989/rtp/232.84.1.148:8862
VTV9,http://14.255.66.32:8989/rtp/232.84.1.241:9420
VTVcab 4,http://14.255.66.32:8989/rtp/232.84.2.190:10924
VTVcab 18 THỂ THAO TIN TỨC HD,http://14.255.66.32:8989/rtp/232.84.2.193:10942
VTVcab 23 GOLF TV,http://14.255.66.32:8989/rtp/232.84.2.246:10876
VTVcab 1 Vie GIẢI TRÍ,http://14.255.66.32:8989/rtp/232.84.1.143:8832
VTVcab 2 Phim Việt,http://14.255.66.32:8989/rtp/232.84.1.168:8982
VTVcab 6 HAYTV,http://14.255.66.32:8989/rtp/232.84.1.220:9294
VTVcab 7,http://14.255.66.32:8989/rtp/232.84.1.26:8130
VTVcab 8 BiBi,http://14.255.66.32:8989/rtp/232.84.1.206:9210
VTVcab 9 InfoTV,http://14.255.66.32:8989/rtp/232.84.2.191:10930
VTVcab 10 Vie DRAMAS,http://14.255.66.32:8989/rtp/232.84.1.205:9204
VTVcab 12 Style TV,http://14.255.66.32:8989/rtp/232.84.1.244:9438
VTVcab 15,http://14.255.66.32:8989/rtp/232.84.2.192:10936
VTVcab 17 Yeah1!TV,http://14.255.66.32:8989/rtp/232.84.1.217:9276
VTVcab 19 Film TV,http://14.255.66.32:8989/rtp/232.84.1.169:8988
VTVcab 20 V Family,http://14.255.66.32:8989/rtp/232.84.1.245:10344
VTC1 HD,http://14.255.66.32:8989/rtp/232.84.2.173:10846
VTC1 HD,http://14.255.66.32:8989/rtp/232.84.3.102:10846
VTC3 HD,http://14.255.66.32:8989/rtp/232.84.1.81:8460
VTC4 HD,http://14.255.66.32:8989/rtp/232.84.2.149:10714
VTC4 HD,http://14.255.66.32:8989/rtp/232.84.3.147:10714
VTC5 HD,http://14.255.66.32:8989/rtp/232.84.3.136:10720
VTC7 HD,http://14.255.66.32:8989/rtp/232.84.2.151:10726
VTC7 HD,http://14.255.66.32:8989/rtp/232.84.3.120:10726
VTC9 HD,http://14.255.66.32:8989/rtp/232.84.3.141:10732
VTC13 HD,http://14.255.66.32:8989/rtp/232.84.1.74:8418
VTC1,http://14.255.66.32:8989/rtp/232.84.1.30:8154
VTC2,http://14.255.66.32:8989/rtp/232.84.1.57:8322
VTC3,http://14.255.66.32:8989/rtp/232.84.1.60:8232
VTC4,http://14.255.66.32:8989/rtp/232.84.2.37:10630
VTC5,http://14.255.66.32:8989/rtp/232.84.2.38:10636
VTC6,http://14.255.66.32:8989/rtp/232.84.1.58:8328
VTC7,http://14.255.66.32:8989/rtp/232.84.1.213:9252
VTC8,http://14.255.66.32:8989/rtp/232.84.2.39:10642
VTC9,http://14.255.66.32:8989/rtp/232.84.1.59:8334
VTC10 https://iptv.live,http://14.255.66.32:8989/rtp/232.84.1.214:9258
VTC11,http://14.255.66.32:8989/rtp/232.84.1.61:8340
VTC12,http://14.255.66.32:8989/rtp/232.84.3.193:11080
VTC13,http://14.255.66.32:8989/rtp/232.84.1.62:8346
VTC14,http://14.255.66.32:8989/rtp/232.84.1.216:9270
VTC16,http://14.255.66.32:8989/rtp/232.84.1.215:9264
VOV TV,http://14.255.66.32:8989/rtp/232.84.1.46:8256
HTV2 Vie Channel,http://14.255.66.32:8989/rtp/232.84.2.182:9306
HTV7 HD,http://14.255.66.32:8989/rtp/232.84.1.223:9312
HTV9 HD,http://14.255.66.32:8989/rtp/232.84.1.224:9318
HTVC Phim,http://14.255.66.32:8989/rtp/232.84.2.133:9594
